地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 Forced sexual intercourse， etc. 3),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering/theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,75288,83,1,13,2,41,2,97,3,97,53,219,-,3302,2209,7,472,164,2254,45966,7615,145,409,-,10,16,738,1881,369,632,68,7695,725
1,13100,区部,All ku,,,,57418,60,1,10,1,31,1,82,3,79,37,167,-,2667,1744,6,374,141,1615,34499,6438,124,364,-,7,16,547,1501,283,472,54,5483,611
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,229,-,-,-,-,-,-,-,-,-,-,2,-,15,9,-,9,1,8,102,26,3,7,-,-,-,3,6,5,3,-,20,10
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,624,1,-,-,-,1,-,-,-,-,-,-,-,37,11,-,8,2,5,289,188,4,12,-,1,-,1,19,2,4,1,32,6
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,290,-,-,-,-,-,-,-,-,2,-,-,-,12,6,-,2,2,8,196,21,4,5,-,-,-,-,8,1,-,1,16,6
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,718,-,-,-,-,1,-,3,-,2,-,3,-,43,20,-,3,-,14,474,64,2,3,-,-,-,5,16,4,2,-,42,17
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,2265,-,-,-,-,-,-,-,-,-,-,5,-,19,9,-,2,2,5,232,1915,1,24,-,-,-,5,9,2,1,-,32,2
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,257,-,-,-,-,-,-,1,-,1,-,-,-,23,10,-,1,-,5,145,22,1,8,-,-,-,2,4,4,4,-,23,3
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,440,-,-,-,-,-,-,-,-,1,-,1,-,21,19,-,6,-,9,280,39,1,7,-,-,-,3,9,2,2,2,30,8
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,184,1,-,-,-,-,-,-,-,-,-,1,-,7,7,-,1,1,3,114,20,-,2,-,-,-,1,4,2,-,-,18,2
2,13103,港区,Minato-ku,9,愛宕署,Atago P. Sta.,425,1,-,-,-,1,-,1,-,1,-,1,-,36,18,-,4,1,6,251,42,3,5,-,-,-,3,10,1,-,-,33,7
2,13103,港区,Minato-ku,10,三田署,Mita P. Sta.,327,-,-,-,-,-,-,1,-,-,-,1,-,13,18,-,3,1,8,196,30,3,-,-,-,-,1,12,4,4,-,27,5
2,13103,港区,Minato-ku,11,高輪署,Takanawa P. Sta. ,457,-,-,-,-,-,-,-,-,-,-,-,-,27,8,-,3,3,4,291,55,1,1,-,-,-,2,13,2,5,1,29,12
2,13103,港区,Minato-ku,12,麻布署,Azabu P. Sta.,598,-,-,1,-,-,-,1,-,1,-,10,-,56,55,-,9,2,44,231,55,-,5,-,-,2,8,16,7,5,1,69,20
2,13103,港区,Minato-ku,13,赤坂署,Akasaka P. Sta.,406,1,-,-,-,-,-,2,-,1,-,-,-,28,16,-,9,1,28,203,46,4,5,-,-,-,2,8,6,8,1,22,15
2,13104,新宿区,Shinjuku-ku,14,牛込署,Ushigome P. Sta. ,504,-,-,-,-,-,-,-,-,1,-,-,-,35,29,-,3,3,34,230,54,2,19,-,-,-,3,16,3,6,-,45,21
