地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 Forced sexual intercourse， etc. 3),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,78475,91,1,17,2,25,1,88,3,91,62,248,2,3719,2445,3,514,192,2111,49120,6945,131,370,3,19,25,835,2034,398,693,56,7352,879
1,13100,区部,All ku,,,,59818,65,1,14,1,17,1,70,2,68,48,197,-,3018,1951,1,380,158,1496,36922,5774,113,329,3,16,19,633,1631,328,513,38,5283,728
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,284,-,-,-,-,-,-,1,-,-,-,1,-,27,13,-,11,2,4,111,38,2,13,-,-,-,3,14,4,12,-,13,15
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,799,-,-,1,-,-,-,-,-,1,-,-,-,57,12,-,7,1,10,386,219,-,18,-,-,-,6,36,5,5,-,19,16
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,250,1,-,-,-,-,-,-,-,-,-,-,-,17,7,-,1,3,9,151,23,2,2,-,-,-,1,14,2,1,-,14,2
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,774,1,-,-,-,2,-,1,-,-,-,3,-,54,23,-,2,-,22,500,58,2,29,-,-,2,1,20,4,2,-,37,11
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,1577,-,-,-,-,-,-,3,-,-,1,1,-,27,10,-,2,1,4,267,1194,4,8,-,1,-,7,11,-,2,2,26,6
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,223,-,-,-,-,-,-,-,1,-,-,2,-,13,10,-,3,-,6,121,29,3,9,-,-,-,1,9,-,2,-,12,2
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,583,1,-,-,-,-,-,-,-,-,-,1,-,32,31,-,3,2,28,358,46,3,11,-,2,-,3,11,2,1,-,36,12
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,233,-,-,-,-,-,-,-,-,-,-,2,-,13,9,-,2,1,2,137,29,1,-,-,-,-,6,8,1,3,1,15,3
2,13103,港区,Minato-ku,9,愛宕署,Atago P. Sta.,551,1,-,-,-,-,-,1,-,1,-,4,-,66,36,-,3,2,8,297,36,2,12,-,2,-,5,15,4,5,-,42,9
2,13103,港区,Minato-ku,10,三田署,Mita P. Sta.,361,-,-,-,-,-,-,-,-,-,-,1,-,27,10,-,2,-,7,216,30,-,2,-,-,-,4,13,3,6,-,28,12
2,13103,港区,Minato-ku,11,高輪署,Takanawa P. Sta. ,514,-,-,-,-,-,-,1,-,-,-,1,-,32,17,-,2,1,11,323,33,1,3,-,-,-,3,19,3,5,-,45,14
2,13103,港区,Minato-ku,12,麻布署,Azabu P. Sta.,743,1,-,-,-,-,-,-,-,2,-,5,-,80,89,-,9,5,14,320,63,2,12,1,-,-,7,13,6,8,-,79,27
2,13103,港区,Minato-ku,13,赤坂署,Akasaka P. Sta.,412,-,-,-,-,-,-,2,-,1,-,2,-,26,18,-,7,2,16,226,36,2,6,-,1,-,6,12,1,5,-,29,14
2,13104,新宿区,Shinjuku-ku,14,牛込署,Ushigome P. Sta. ,400,-,-,-,-,-,-,1,-,-,1,2,-,31,14,-,1,1,20,224,40,-,3,1,-,-,3,10,1,3,-,35,9
2,13104,新宿区,Shinjuku-ku,15,新宿署,Shinjuku P. Sta.,2915,4,-,-,-,2,-,4,-,5,1,21,-,241,187,-,10,19,76,1727,171,7,15,-,1,6,41,123,13,16,1,177,47
2,13104,新宿区,Shinjuku-ku,16,戸塚署,Totsuka P. Sta.,690,-,-,-,-,-,-,1,-,2,1,5,-,37,26,-,7,-,24,384,64,1,3,-,-,2,4,21,5,11,-,81,11
2,13104,新宿区,Shinjuku-ku,17,四谷署,Yotsuya P. Sta.,816,2,-,-,-,-,-,3,-,1,-,3,-,48,42,-,5,5,24,498,54,1,2,-,-,-,11,18,5,5,1,69,19
2,13105,文京区,Bunkyo-ku,18,富坂署,Tomisaka P. Sta.,285,-,-,-,-,-,-,-,-,1,1,-,-,13,10,-,6,-,4,161,38,4,-,-,-,-,3,6,1,7,-,27,3
2,13105,文京区,Bunkyo-ku,19,大塚署,Otsuka P. Sta.,265,-,-,-,-,-,-,-,-,1,-,3,-,16,14,-,-,3,5,133,44,-,2,-,-,-,4,4,3,5,-,22,6
2,13105,文京区,Bunkyo-ku,20,本富士署,Motofuji P. Sta.,252,2,-,-,-,-,-,-,-,-,-,1,-,11,7,-,-,-,8,153,20,1,2,-,-,-,2,7,2,3,-,26,7
2,13105,文京区,Bunkyo-ku,21,駒込署,Komagome P. Sta.,156,-,-,-,-,1,-,-,-,-,-,1,-,10,5,-,2,1,5,89,17,-,-,-,-,-,3,3,-,2,-,15,2
2,13106,台東区,Taito-ku,22,上野署,Ueno P. Sta.,1051,2,-,1,-,-,-,1,-,-,4,3,-,78,39,-,5,4,22,697,52,-,8,-,-,3,14,28,6,6,1,63,14
2,13106,台東区,Taito-ku,23,下谷署,Shitaya P. Sta.　,390,-,-,-,-,-,-,1,-,-,1,2,-,20,13,-,3,-,8,250,30,-,1,-,1,-,3,15,-,6,-,31,5
2,13106,台東区,Taito-ku,24,浅草署,Asakusa P. Sta.　,717,-,-,-,-,-,-,-,-,1,1,3,-,44,26,-,11,2,17,457,31,-,3,-,-,-,4,30,7,5,-,58,17
2,13106,台東区,Taito-ku,25,蔵前署,Kuramae P. Sta.,377,-,-,-,-,-,-,1,-,-,-,1,-,12,11,-,13,1,6,231,36,1,2,-,-,-,3,9,2,2,-,40,6
2,13107,墨田区,Sumida-ku,26,本所署,Honjo P. Sta.,1274,1,-,-,-,-,-,-,-,1,1,12,-,64,37,-,4,4,26,860,77,-,1,-,-,1,17,34,8,8,-,108,10
2,13107,墨田区,Sumida-ku,27,向島署,Mukojima P. Sta. ,686,-,-,-,-,-,-,1,-,1,1,2,-,33,30,-,3,1,6,469,34,4,2,-,-,-,10,15,1,11,1,60,1
2,13108,江東区,Koto-ku,28,深川署,Fukagawa P. Sta.,1129,-,-,-,-,-,-,1,-,1,-,1,-,76,36,-,11,-,14,694,109,1,3,-,2,-,16,24,4,9,-,115,12
2,13108,江東区,Koto-ku,29,城東署,Joto P. Sta. ,1328,2,-,-,-,1,-,2,-,3,-,1,-,44,41,-,11,2,28,920,67,3,4,-,-,-,10,40,9,7,1,125,7
2,13108,江東区,Koto-ku,30,東京湾岸署,Tokyo Wangan P. Sta.,470,1,-,-,-,-,-,1,-,-,-,1,-,23,20,-,1,-,6,316,42,1,-,-,-,-,6,12,1,6,-,27,6
2,13109,品川区,Shinagawa-ku,31,品川署,Shinagawa P. Sta.,322,1,-,-,-,-,-,-,-,2,-,4,-,19,5,-,4,1,4,171,39,-,5,-,2,-,7,8,5,1,1,36,7
2,13109,品川区,Shinagawa-ku,32,大井署,Oi P. Sta. ,570,1,-,-,-,-,-,-,-,-,-,1,-,30,13,-,2,-,13,367,63,3,4,-,-,2,5,13,3,3,-,39,8
2,13109,品川区,Shinagawa-ku,33,大崎署,Osaki P. Sta.,625,-,-,-,-,-,-,1,-,4,-,4,-,47,24,-,6,3,19,365,46,2,5,-,-,-,5,35,2,4,-,47,6
2,13109,品川区,Shinagawa-ku,34,荏原署,Ebara P. Sta.　,510,-,-,-,-,1,-,-,-,-,-,-,-,14,17,-,-,-,10,320,55,-,2,-,-,-,8,10,5,8,1,53,6
2,13110,目黒区,Meguro-ku,35,目黒署,Meguro P. Sta.,691,-,-,-,-,-,-,1,-,2,-,1,-,17,21,-,3,4,35,412,60,2,3,-,2,-,5,21,4,9,-,79,10
