年度,Fiscal year,月次,Month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特別需要 Regulated rates,低圧 Low voltage／自由料金 Non-regulated rates
平成28,2016,総数,Total,77850259,20118698,26579450,31152111,24134916,7017195
平成29,2017,総数,Total,78692235,20061383,26580905,32049947,21773851,10276096
平成30,2018,総数,Total,78199667,20285398,26440853,31473416,18465277,13008139
令和元,2019,総数,Total,77114677,19945440,25922565,31246672,15146286,16100386
平成31,2019,4,Apr.,6059646,1530821,1995383,2533442,1311751,1221691
令和元,2019,5,May,5599500,1615318,1869501,2114681,1128914,985767
令和元,2019,6,Jun,5824029,1694989,2095383,2033657,1016596,1017061
令和元,2019,7,July,6237335,1843821,2232015,2161500,1097248,1064252
令和元,2019,8,Aug. ,7780934,2007740,2669807,3103387,1608594,1494793
令和元,2019,9,Sept.,7202903,1820367,2528850,2853687,1390955,1462732
令和元,2019,10,Oct.,6155599,1691032,2143826,2320741,1139224,1181517
令和元,2019,11,Nov.,5630466,1552256,1923217,2154993,1019115,1135878
令和元,2019,12,Dec.,6320747,1580457,2085003,2655287,1227634,1427653
令和2,2020,1,Jan.,7063657,1578335,2177239,3308083,1553547,1754536
令和2,2020,2,Feb.,6936289,1499080,2206646,3230563,1424890,1805673
令和2,2020,3,Mar.,6303571,1531224,1995695,2776652,1227818,1548834
,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,
6-1  電力需要実績（平成28～令和元年度） 6-1  ELECTRICITY DEMAND ( Fiscal Years 2016-2019 ),,,,,,,,,
資料：資源エネルギー庁 「都道府県別電力需要実績」 Source: Agency for Natural Resources and Energy ,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,
