年度,Fiscal year,月次,Month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特定需要 Regulated rates,低圧 Low voltage／自由料金 Non-regulated rates
平成28,2016,総数,Total,77850259,20118698,26579450,31152111,24134916,7017195
平成29,2017,総数,Total,78692235,20061383,26580905,32049947,21773851,10276096
平成30,2018,総数,Total,78199667,20285398,26440853,31473416,18465277,13008139
令和元,2019,総数,Total,77114677,19945440,25922565,31246672,15146286,16100386
令和2,2020,総数,Total,76179553,18811726,24521945,32845883,13365243,19480640
令和2,2020,4,Apr.,5864364,1347352,1801150,2715862,1189239,1526623
令和2,2020,5,May,5125657,1383583,1556060,2186014,949165,1236849
令和2,2020,6,Jun,5680174,1629705,1906919,2143550,891900,1251650
令和2,2020,7,July,6265319,1754600,2167767,2342952,992864,1350088
令和2,2020,8,Aug. ,7366622,1919263,2489187,2958171,1250468,1707703
令和2,2020,9,Sept.,7661985,1759181,2540833,3361971,1388442,1973529
令和2,2020,10,Oct.,5800873,1580751,1952186,2267936,936399,1331537
令和2,2020,11,Nov.,5524828,1480898,1840238,2203692,863465,1340227
令和2,2020,12,Dec.,6228941,1534624,2039998,2654319,1040547,1613772
令和3,2021,1,Jan.,7349545,1517897,2182296,3649353,1447948,2201405
令和3,2021,2,Feb.,7075487,1399652,2137799,3538036,1298248,2239788
令和3,2021,3,Mar.,6235757,1504220,1907511,2824026,1116558,1707468
,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,
6-1  電力需要実績（平成28～令和2年度） 6-1  ELECTRICITY DEMAND ( Fiscal Years 2016-2020 ),,,,,,,,,
資料：資源エネルギー庁 「都道府県別電力需要実績」 Source: Agency for Natural Resources and Energy ,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,
