年度,Fiscal year,月次,Month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特定需要 Regulated rates,低圧 Low voltage／自由料金 Non-regulated rates,,,,,
平成30,2018,総数,Total,78199667,20285398,26440853,31473416,18465277,13008139,,,,,
令和元,2019,総数,Total,77114677,19945440,25922565,31246672,15146286,16100386,,,,,
令和2,2020,総数,Total,76179553,18811726,24521945,32845883,13365243,19480640,,,,,
令和3,2021,総数,Total,76346358,19135091,24774204,32437062,11439482,20997580,,,,,
令和4,2022,総数,Total,75274177,18877434,24725629,31671116,10109047,21562069,,,,,
令和4,2022,4,Apr.,5913316,1471872,1903561,2537883,814413,1723470,,,,,
令和4,2022,5,May,5321958,1510791,1754301,2056866,671303,1385563,,,,,
令和4,2022,6,Jun,5651238,1634879,1971274,2045085,667638,1377447,,,,,
令和4,2022,7,July,6866754,1836219,2361192,2669343,874658,1794685,,,,,
令和4,2022,8,Aug. ,7548199,1857111,2529400,3161688,1004238,2157450,,,,,
令和4,2022,9,Sept.,6839096,1692812,2324732,2821553,892556,1928997,,,,,
令和4,2022,10,Oct.,5678644,1534003,1927295,2217346,709756,1507590,,,,,
令和4,2022,11,Nov.,5438678,1469868,1805883,2162927,671302,1491625,,,,,
令和4,2022,12,Dec.,5999344,1513112,1963687,2522546,794433,1728113,,,,,
令和4,2022,1,Jan.,6978873,1500341,2122044,3356488,1077700,2278788,,,,,
令和4,2022,2,Feb.,7079659,1405093,2202443,3472123,1058431,2413692,,,,,
令和4,2022,3,Mar.,5958418,1451333,1859817,2647268,872619,1774649,,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和4年）TOKYO STATISTICAL YEARBOOK ( 2022 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,
6-1  電力需要実績（平成30～令和4年度） 6-1  ELECTRICITY DEMAND ( Fiscal Years 2018-2022 ),,,,,,,,,,,,,,
資料：資源エネルギー庁 「都道府県別電力需要実績」 Source: Agency for Natural Resources and Energy ,,,,,,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,,,,,,
